Nukualofa;Tonga;nukualofa;nukualofa;35778;nukualofa0;-21.13;-175.2;1;123
Oslo;Norway;oslo;oslo;599230;oslo0;59.91273;10.74609;1;124
Ottawa;Canada;ottawa;ottawa;883391;ottawa0;45.41117;-75.69812;1;125
Ouagadougou;Burkina Faso;ouagadougou;ouagadougou;1475223;ouagadougou0;12.36423;-1.53834;1;126
Palikir;Micronesia;palikir;palikir;0;palikir0;6.92;158.19;1;127
Panama City;Panama;panama_city;panama;430299;panama_city0;8.97;-79.53;1;128
Paramaribo;Suriname;paramaribo;paramaribo;242946;paramaribo0;5.86638;-55.16682;1;129
Paris;France;paris;paris;2211297;paris0;48.85341;2.3488;1;130
Phnom Penh;Cambodia;phnom_penh;phnom_penh;1242992;phnom_penh0;11.56245;104.91601;1;131
Podgorica;Montenegro;podgorica;podgorica;151312;podgorica0;42.47;19.27;1;132
Port Louis;Mauritius;port_louis;port_louis;148638;port_louis0;-20.16194;57.49889;1;133
Port Moresby;Papua New Guinea;port_moresby;port_moresby;254158;port_moresby0;-9.44314;147.17972;1;134
Port Vila;Vanuatu;port_vila;port_vila;44040;port_vila0;-17.75;168.3;1;135
Port-au-Prince;Haiti;port_au_prince;port_au_prince;875978;port_au_prince0;18.53917;-72.335;1;136
Port-of-Spain;Trinidad & Tobago;port_of_spain;port_of_spain;37074;port_of_spain0;10.67;-61.52;1;137
Porto-Novo;Benin;porto_novo;porto_novo;263616;porto_novo0;6.49646;2.60359;1;138
Prague;Czech Republic;prague;praha;1272690;prague0;50.08;14.42;1;139
Praia;Cape Verde;praia;praia;127832;praia0;14.92148;-23.50868;1;140
Pretoria;South Africa;pretoria;pretoria;2345908;pretoria0;-25.74486;28.18783;1;141
Pristina;Kosovo;pristina;pristina;197000;pristina0;42.65;21.17;1;142
Pyongyang;North Korea;pyongyang;pyongyang;3270582;pyongyang0;39.03385;125.75432;1;143
Quito;Ecuador;quito;quito;1607734;quito0;-0.22985;-78.52495;1;144
Rabat;Morocco;rabat;rabat;621480;rabat0;34.01325;-6.83255;1;145
Ramallah;Palestine;ramallah;east_jerusalem;33200;ramallah0;31.9;35.2;1;146
Reykjavik;Iceland;reykjavik;reykjavik;118061;reykjavik0;64.13548;-21.89541;1;147
Riga;Latvia;riga;riga;700107;riga0;56.946;24.10589;1;148
Riyadh;Saudi Arabia;riyadh;riyadh;5188286;riyadh0;24.68773;46.72185;1;149
Rome;Italy;rome;roma;2761477;rome0;41.88;12.50;1;150
Roseau;Dominica;roseau;roseau;14725;roseau0;15.3;-61.39;1;151
San Jose;Costa Rica;san_jose;san_jose;945942;san_jose0;9.93;-84.08;1;152
San Marino;San Marino;san_marino;san_marino;2294;san_marino0;43.93;12.45;1;153
San Salvador;El Salvador;san_salvador;san_salvador;316090;san_salvador0;13.68935;-89.18718;1;154
Sanaa;Yemen;sanaa;sanaa;1707531;sanaa0;15.35472;44.20667;1;155
Santiago;Chile;santiago;santiago;4656690;santiago0;-33.42628;-70.56656;1;156
Santo Domingo;Dominican Republic;santo_domingo;santo_domingo;2169300;santo_domingo0;18.50012;-69.98857;1;157
Sao Tome;Sao Tome and Principe;sao_tome;sao_tome;67000;sao_tome0;0.3333333;6.7333333;1;158
Sarajevo;Bosnia and Herzegovina;sarajevo;sarajevo;393000;sarajevo0;43.84864;18.35644;1;159
Seoul;South Korea;seoul;seoul;9794304;seoul0;37.56826;126.97783;1;160
