Jaipur;india;jaipur;jaipur;4400000;jaipur0;26.91667;75.81667;10;127
Medellin;colombia;medellin;medellin;4275000;medellin0;6.29139;-75.53611;2;128
Algiers;algeria;algiers;algiers;4250000;algiers0;36.7525;3.04197;1;129
Puebla;mexico;puebla;puebla;4225000;puebla0;19.05;-98.22;4;130
Medan;indonesia;medan;medan;4200000;medan0;3.58333;98.66667;4;131
Kampala;uganda;kampala;kampala;4125000;kampala0;0.31628;32.58219;1;132
Lucknow;india;lucknow;lucknow;4125000;lucknow0;26.85;80.91667;11;133
Faisalabad;pakistan;faisalabad;faisalabad;4050000;faisalabad0;31.41667;73.08333;3;134
Naples;italy;naples;napoli;4050000;naples0;40.83;14.25;2;135
Busan;south_korea;busan;pusan;4000000;busan0;35.10278;129.04028;2;136
Brasilia;brazil;brasilia;brasilia;3975000;brasilia0;-15.77972;-47.92972;4;137
Dakar;senegal;dakar;dakar;3925000;dakar0;14.6937;-17.44406;1;138
Jiddah;saudi_arabia;jiddah;jeddah;3925000;jiddah0;21.51694;39.21917;2;139
Porto Alegre;brazil;porto_alegre;porto_alegre;3925000;porto_alegre0;-30.03306;-51.23;5;140
Damascus;syria;damascus;damascus;3875000;damascus0;33.5102;36.29128;1;141
Zibo;china;zibo;zibo;3875000;zibo0;36.79056;118.06333;34;142
Denver;united_states;denver;denver;3850000;denver0;39.7621623;-104.87607;16;143
Durban;south_africa;durban;durban;3850000;durban0;-29.8579;31.0292;3;144
Santo Domingo;dominican_republic;santo_domingo;santo_domingo;3850000;santo_domingo0;18.50012;-69.98857;1;145
Caracas;venezuela;caracas;caracas;3825000;caracas0;10.5;-66.91667;1;146
Yaounde;cameroon;yaounde;yaounde;3825000;yaounde0;3.86667;11.51667;1;147
Orlando;united_states;orlando;orlando;3800000;orlando0;28.4145775;-81.29926;17;148
Rawalpindi;pakistan;rawalpindi;islamabad;3800000;rawalpindi0;33.6007;73.0679;4;149
Douala;cameroon;douala;douala;3775000;douala0;4.0469;9.7084;2;150
Tashkent;uzbekistan;tashkent;tashkent;3775000;tashkent0;41.26465;69.21627;1;151
Baku;azerbaijan;baku;baku;3675000;baku0;40.37767;49.89201;1;152
Recife;brazil;recife;recife;3675000;recife0;-8.05389;-34.88111;6;153
Kanpur;india;kanpur;kanpur;3650000;kanpur0;26.46667;80.35;12;154
Indore;india;indore;indore;3625000;indore0;22.71792;75.8333;13;155
Port au Prince;haiti;port_au_prince;port_au_prince;3625000;port_au_prince0;18.53917;-72.335;1;156
Luoyang;china;luoyang;luoyang;3600000;luoyang0;34.68361;112.45361;35;157
Athens;greece;athens;athens;3575000;athens0;37.97945;23.71622;1;158
Fortaleza;brazil;fortaleza;fortaleza;3575000;fortaleza0;-3.71722;-38.54306;7;159
Lanzhou;china;lanzhou;lanzhou;3500000;lanzhou0;36.05639;103.79222;36;160
Nagpur;india;nagpur;nagpur;3500000;nagpur0;21.15;79.1;14;161
Kiev;ukraine;kiev;kyiv;3475000;kiev0;50.45466;30.5238;1;162
Curitiba;brazil;curitiba;curitiba;3425000;curitiba0;-25.42778;-49.27306;8;163
Mashhad;iran;mashhad;mashhad;3425000;mashhad0;36.297;59.6062;2;164
Rome;italy;rome;roma;3425000;rome0;41.88;12.5;3;165
Rotterdam;netherlands;rotterdam;the_hague;3400000;rotterdam0;51.9225;4.47917;1;166
Isfahan;iran;isfahan;esfahan;3375000;isfahan0;32.68;51.68;3;167
Brisbane;australia;brisbane;brisbane;3350000;brisbane0;-27.46794;153.02809;3;168
Guatemala City;guatemala;guatemala_city;guatemala;3350000;guatemala_city0;14.64072;-90.51327;1;169
Nantong;china;nantong;nantong;3350000;nantong0;32.03028;120.87472;37;170
Ibadan;nigeria;ibadan;ibadan;3325000;ibadan0;7.38778;3.89639;3;171
Frankfurt;germany;frankfurt;frankfurt;3300000;frankfurt0;50.11667;8.68333;4;172
Guayaquil;ecuador;guayaquil;guayaquil;3300000;guayaquil0;-2.16667;-79.9;1;173
Ouagadougou;burkina_faso;ouagadougou;ouagadougou;3300000;ouagadougou0;12.36423;-1.53834;1;174
Bhilai;india;bhilai;raipur;3275000;bhilai0;21.23333;81.63333;15;175
Birmingham;unitedkingdom;birmingham;birmingham;3250000;birmingham0;52.48142;-1.89983;2;176
Campinas;brazil;campinas;campinas;3250000;campinas0;-22.90556;-47.06083;9;177
Minneapolis;united_states;minneapolis;st_paul;3225000;minneapolis0;44.9624634;-93.267307;18;178
Salvador;brazil;salvador;salvador;3200000;salvador0;-12.97111;-38.51083;10;179
San Diego;united_states;san_diego;san_diego;3200000;san_diego0;32.8169573;-117.13363;19;180
Sanaa;yemen;sanaa;sanaa;3175000;sanaa0;15.35472;44.20667;1;181
Weifang;china;weifang;weifang;3175000;weifang0;36.71;119.10194;38;182
Gujranwala;pakistan;gujranwala;gujranwala;3150000;gujranwala0;32.16167;74.18831;5;183
Manchester;unitedkingdom;manchester;manchester;3150000;manchester0;53.48095;-2.23743;3;184
Kathmandu;nepal;kathmandu;kathmandu;3125000;kathmandu0;27.70169;85.3206;1;185
Jiangyin;china;jiangyin;jiangyin;3100000;jiangyin0;31.839;120.295;39;186
Vancouver;canada;vancouver;vancouver;3075000;vancouver0;49.24966;-123.11934;3;187
Xuzhou;china;xuzhou;xuzhou;3075000;xuzhou0;34.27;117.18;40;188
Antananarivo;madagascar;antananarivo;tananarive;3050000;antananarivo0;-18.91433;47.53098;1;189
